subid,lat,lon,time
333,43.05578,-89.39803,2024-07-30T06:00:21Z
333,43.05602,-89.39787,2024-07-30T06:01:48Z
333,43.05618,-89.39827,2024-07-30T06:03:54Z
333,43.05733,-89.39897,2024-07-30T06:06:00Z
333,43.05752,-89.39896,2024-07-30T06:11:29Z
333,43.06257,-89.4007,2024-07-30T06:12:45Z
333,43.06618,-89.4007,2024-07-30T06:14:01Z
333,43.06789,-89.40084,2024-07-30T06:15:17Z
333,43.07191,-89.40066,2024-07-30T06:16:33Z
333,43.07191,-89.3993,2024-07-30T06:17:49Z
333,43.07213,-89.39388,2024-07-30T06:19:05Z
333,43.07439,-89.39047,2024-07-30T06:20:21Z
333,43.07475,-89.38804,2024-07-30T06:21:37Z
333,43.07415,-89.38559,2024-07-30T06:22:55Z
333,43.07487,-89.38228,2024-07-30T06:24:11Z
333,43.07529,-89.38284,2024-07-30T06:25:27Z
333,43.07804,-89.37924,2024-07-30T06:26:43Z
333,43.07823,-89.37894,2024-07-30T06:27:59Z
333,43.08153,-89.37433,2024-07-30T06:29:15Z
333,43.08223,-89.3742,2024-07-30T06:31:21Z
333,43.08049,-89.37418,2024-07-30T06:33:27Z
333,43.08044,-89.37415,2024-07-30T06:33:30Z
333,43.07927,-89.37285,2024-07-30T06:35:36Z
333,43.07831,-89.37166,2024-07-30T06:37:42Z
333,43.07794,-89.37164,2024-07-30T06:38:42Z
333,43.07788,-89.37157,2024-07-30T06:44:48Z
333,43.07789,-89.37157,2024-07-30T10:22:30Z
333,43.07789,-89.37157,2024-07-30T12:22:39Z
333,43.07788,-89.37157,2024-07-30T12:30:21Z
333,43.07947,-89.37592,2024-07-30T13:38:17Z
333,43.07965,-89.37688,2024-07-30T13:40:29Z
333,43.08031,-89.37778,2024-07-30T13:42:35Z
333,43.08133,-89.37907,2024-07-30T13:44:41Z
333,43.08044,-89.38018,2024-07-30T13:46:47Z
333,43.08055,-89.38154,2024-07-30T13:48:53Z
333,43.08063,-89.3816,2024-07-30T13:48:59Z
333,43.08125,-89.38277,2024-07-30T13:51:05Z
333,43.08029,-89.38404,2024-07-30T13:53:11Z
333,43.07931,-89.38544,2024-07-30T13:55:17Z
333,43.07837,-89.38678,2024-07-30T13:57:23Z
333,43.07783,-89.38779,2024-07-30T13:59:29Z
333,43.07785,-89.38782,2024-07-30T13:59:31Z
333,43.07776,-89.38771,2024-07-30T14:56:01Z
333,43.07722,-89.38806,2024-07-30T14:58:46Z
333,43.07639,-89.38958,2024-07-30T15:00:52Z
333,43.07537,-89.39089,2024-07-30T15:02:58Z
333,43.07467,-89.39226,2024-07-30T15:04:58Z
333,43.07454,-89.39415,2024-07-30T15:07:04Z
333,43.07482,-89.39638,2024-07-30T15:09:10Z
333,43.07517,-89.39805,2024-07-30T15:11:16Z
333,43.07489,-89.40013,2024-07-30T15:13:22Z
333,43.07397,-89.40061,2024-07-30T15:15:28Z
333,43.07329,-89.40224,2024-07-30T15:17:34Z
333,43.07341,-89.4041,2024-07-30T15:19:40Z
333,43.0732,-89.40519,2024-07-30T15:21:46Z
333,43.07332,-89.40534,2024-07-30T15:21:53Z
333,43.0725,-89.40601,2024-07-30T15:24:21Z
333,43.07286,-89.40652,2024-07-30T15:27:10Z
333,43.0725,-89.40599,2024-07-30T15:28:33Z
333,43.0725,-89.40599,2024-07-30T15:29:03Z
